two dog wrestle hug	 | no dog wrestling hugging	 | CONTRADICTION	 | NEUTRAL
horse leap hurdle rider back	 | horse no rider fall hurdle	 | NEUTRAL	 | CONTRADICTION
horse rider not leap barrier	 | horse leap hurdle rider back	 | CONTRADICTION	 | NEUTRAL
horse leap hurdle rider back	 | horse rider leap barrier	 | ENTAILMENT	 | NEUTRAL
football player red white uniform lift two teammate	 | football player red white uniform pull two teammate	 | CONTRADICTION	 | NEUTRAL
woman white dress woman blue dress stand beside stage	 | woman white dress woman blue dress stand stage	 | NEUTRAL	 | ENTAILMENT
white woman stand woman dress blue stage	 | woman white dress woman blue dress stand stage	 | NEUTRAL	 | ENTAILMENT
two young woman folded arm look away screen	 | two young woman folded arm look screen	 | CONTRADICTION	 | ENTAILMENT
dead bird near black man sit tree	 | black bird sit dead tree	 | NEUTRAL	 | ENTAILMENT
black bird sit leafless tree	 | bird , black , sit dead tree	 | NEUTRAL	 | ENTAILMENT
black bird sit dead tree	 | black bird sit comfortably leafless tree	 | NEUTRAL	 | ENTAILMENT
black bird sit leafless tree	 | black bird sit dead tree	 | NEUTRAL	 | ENTAILMENT
two people sit lawn chair read book	 | two people two chair read pleasantly	 | NEUTRAL	 | ENTAILMENT
two child lean rusty ledge	 | two child peer rusty ledge	 | ENTAILMENT	 | NEUTRAL
player purple , white black play near end field	 | black player make white player play near end purple field	 | NEUTRAL	 | ENTAILMENT
man bicycle rid beach	 | person rid bicycle sand beside ocean	 | ENTAILMENT	 | NEUTRAL
large duck fly rocky stream	 | large stream full rock , duck fly	 | NEUTRAL	 | ENTAILMENT
duck , large , fly rocky stream	 | seabird fly rock	 | ENTAILMENT	 | NEUTRAL
dog run downhill	 | dog run uphill	 | NEUTRAL	 | ENTAILMENT
dog run hill full grass	 | dog run uphill	 | ENTAILMENT	 | NEUTRAL
dog run grassy hill	 | dog run uphill	 | ENTAILMENT	 | NEUTRAL
golden dog run field tall grass	 | brown dog run tall green grass	 | NEUTRAL	 | ENTAILMENT
couple white dog run jump along beach	 | two dog play beach	 | ENTAILMENT	 | NEUTRAL
two white dog run jump along beach	 | two dog play beach	 | ENTAILMENT	 | NEUTRAL
large brown dog not run outside dirt	 | dog run alongside fence dirt track	 | NEUTRAL	 | CONTRADICTION
man hold sign seek money	 | man seek sign hold money	 | NEUTRAL	 | ENTAILMENT
snowboarder flip mound snow	 | somebody leap air board	 | ENTAILMENT	 | NEUTRAL
blonde boy green sit swing	 | blonde boy green stand swing	 | CONTRADICTION	 | NEUTRAL
man red uniform make jump dirt bike race	 | man red uniform race make jump bike dirt	 | NEUTRAL	 | ENTAILMENT
man red uniform swiftly make jump dirt bike race	 | man participate bmx race	 | ENTAILMENT	 | NEUTRAL
man not participate bmx race	 | man red uniform make jump dirt bike race	 | CONTRADICTION	 | NEUTRAL
no family posing mantel christmas tree	 | happy family pose fireplace	 | CONTRADICTION	 | NEUTRAL
people play rugby tackle	 | rugby player tackle	 | ENTAILMENT	 | NEUTRAL
boy girl play outdoor gym	 | child play playground	 | ENTAILMENT	 | NEUTRAL
rider blue black motocross bike not wear pant	 | motocross rider wear blue black pant	 | NEUTRAL	 | CONTRADICTION
biker blue jacket , black pant white helmet drive dirt people watch	 | blue black pant wear motocross rider	 | ENTAILMENT	 | NEUTRAL
man inline skate skate skate park	 | man inline skate rest skate park	 | NEUTRAL	 | ENTAILMENT
oriental man two woman turn back camera	 | oriental man two woman face camera	 | CONTRADICTION	 | NEUTRAL
oriental man two woman turn back camera	 | group people stand together look camera	 | NEUTRAL	 | ENTAILMENT
small girl rid toy car	 | no child sit red yellow toy car	 | CONTRADICTION	 | NEUTRAL
woman three men pose photo	 | woman three men deny photo	 | NEUTRAL	 | ENTAILMENT
three men woman stand still picture	 | three men woman pose picture	 | ENTAILMENT	 | NEUTRAL
three men woman stand still picture	 | woman three men pose photo	 | ENTAILMENT	 | NEUTRAL
woman three men pose photo	 | three men woman run away picture	 | CONTRADICTION	 | NEUTRAL
three men woman pose picture	 | woman pose three men photo	 | NEUTRAL	 | ENTAILMENT
young boy cover grass jump near wooden fence	 | young boy cover grass jump near fence make wood	 | ENTAILMENT	 | NEUTRAL
black dog walk tall grass	 | black dog not run grass	 | ENTAILMENT	 | NEUTRAL
two little boy wear tuxedo	 | two little kid wear tuxedo	 | ENTAILMENT	 | NEUTRAL
two boy , look small , dress tuxedo sit red carpeted floor	 | two little boy wear tuxedo	 | ENTAILMENT	 | NEUTRAL
two small boy dress tuxedo sit red carpeted floor	 | two little kid wear tuxedo	 | ENTAILMENT	 | NEUTRAL
two small boy dress tuxedo sit red carpeted floor	 | two little boy not wear tuxedo	 | CONTRADICTION	 | NEUTRAL
two small boy dress tuxedo sit red carpeted floor	 | two little boy wear tuxedo	 | ENTAILMENT	 | NEUTRAL
dog muzzle blue jacket run around yard	 | dog blue muzzle run around yard jacket	 | NEUTRAL	 | ENTAILMENT
dog muzzle blue jacket run around yard	 | dog blue blanket run grass	 | ENTAILMENT	 | NEUTRAL
person green shirt jump onto grass	 | person green shirt jump high grass	 | NEUTRAL	 | ENTAILMENT
woman speak cell phone keep purse yellow bag near ledge	 | woman speak ledge keep cell phone inside purse inside yellow bag	 | NEUTRAL	 | ENTAILMENT
man wheelie mountain bike	 | person bike rid one wheel	 | ENTAILMENT	 | NEUTRAL
man wheelie mountain bike	 | no man bicycle rid one wheel	 | CONTRADICTION	 | NEUTRAL
one man wheelie mountain bike	 | man bicycle rid one wheel	 | ENTAILMENT	 | NEUTRAL
man wheelie mountain bike	 | man bicycle rid one wheel	 | ENTAILMENT	 | NEUTRAL
duck brown feather green head flap wing water	 | bird flap wing water	 | ENTAILMENT	 | NEUTRAL
furry brown dog run grassy area	 | brown dog play outdoors	 | ENTAILMENT	 | NEUTRAL
woman fur hat fur coat sit outside building	 | woman fur hat fur coat stand outside building	 | CONTRADICTION	 | NEUTRAL
elderly lady wait sidewalk	 | elderly person wait lady sidewalk	 | NEUTRAL	 | ENTAILMENT
young child run gravel road cover dead leaf	 | young child lie gravel road cover dead leaf	 | NEUTRAL	 | CONTRADICTION
young child run road make gravel cover dead leaf	 | young child run outside fall leaf	 | ENTAILMENT	 | NEUTRAL
young child run gravel road cover dead leaf	 | young child run outside fall leaf	 | ENTAILMENT	 | NEUTRAL
man wear long sleeved blue shirt jean rid unicycle street	 | man wear blue checker shirt cheerfully rid unicycle street	 | NEUTRAL	 | ENTAILMENT
men distance star three big hill	 | three men star big green hill distance	 | NEUTRAL	 | ENTAILMENT
three men look distance	 | three men look something nearby	 | NEUTRAL	 | ENTAILMENT
one man climb rock wall another man hold rope	 | one climber hold rock another man rope wall	 | NEUTRAL	 | ENTAILMENT
two child play statue	 | small kid climb statue park	 | ENTAILMENT	 | NEUTRAL
small child climb statue park	 | child play statue	 | ENTAILMENT	 | NEUTRAL
no child play statue	 | small child climb statue park	 | CONTRADICTION	 | NEUTRAL
woman turn back view city	 | woman look view city	 | CONTRADICTION	 | NEUTRAL
man stand top rock cloud behind	 | person lie top rock cloud behind	 | NEUTRAL	 | ENTAILMENT
smile boy summer clothes stand still outside building	 | smile boy winter clothes wave mittened hand outside building snow	 | NEUTRAL	 | ENTAILMENT
no young child dress cold weather stand outside	 | smile boy winter clothes wave mittened hand outside building snow	 | CONTRADICTION	 | NEUTRAL
smile boy winter clothes wave mittened hand outside building snow	 | young child dress cold weather stand outside	 | ENTAILMENT	 | NEUTRAL
dog chase ball grass	 | dog ball chase grass	 | NEUTRAL	 | ENTAILMENT
bearded man sit train	 | hairy man sit train	 | NEUTRAL	 | ENTAILMENT
small child show excitement swing set park	 | small child show boredom swing set park	 | NEUTRAL	 | ENTAILMENT
little girl swing woman stand behind	 | girl stand behind little woman swing	 | CONTRADICTION	 | ENTAILMENT
man two woman dark room sit table candle	 | man two woman darkened room sit table candle	 | ENTAILMENT	 | NEUTRAL
man white shirt sunglass man black shirt sunglass sit table four beer bottle	 | no men sit table four beer bottle	 | CONTRADICTION	 | NEUTRAL
two guy sit around table hold beer hand	 | no men sit table four beer bottle	 | CONTRADICTION	 | NEUTRAL
two dog battle frisbee lake	 | two brown dog play frisbee water	 | ENTAILMENT	 | NEUTRAL
girl wear shirt color white pink skirt , stand front house	 | girl wear white shirt pink skirt , stand front house	 | ENTAILMENT	 | NEUTRAL
football player run official carry football	 | football player run past official carry football	 | NEUTRAL	 | ENTAILMENT
person bike jump air sun flare beautifully bike frame	 | person fly air bicycle	 | ENTAILMENT	 | NEUTRAL
bunch men play rugby muddy field	 | bunch men play rugby field full mud	 | ENTAILMENT	 | NEUTRAL
snow two play dog	 | brown dog gray dog play snow	 | NEUTRAL	 | ENTAILMENT
girl get tattoo remove hand	 | girl get tattoo hand	 | CONTRADICTION	 | ENTAILMENT
woman purple top walk bicycle two stone column	 | stone woman bicycle top two purple column , people walk	 | NEUTRAL	 | ENTAILMENT
man wear red jacket stand beside yellow canoe rock water background	 | man red jacket stand next yellow kayak rock ocean	 | ENTAILMENT	 | NEUTRAL
black dog walk along tree trunk bridge water	 | dog cross river bridge make fall tree	 | NEUTRAL	 | ENTAILMENT
little boy proudly wear green soccer strip run grass	 | child green white sport uniform run grass	 | ENTAILMENT	 | NEUTRAL
boy blue run away woman blue	 | boy blue run towards woman blue	 | NEUTRAL	 | ENTAILMENT
little boy brown hair jump brown chair onto floor	 | young boy quickly jump chair	 | ENTAILMENT	 | NEUTRAL
young boy jump chair	 | no little boy brown hair jump brown chair onto floor	 | NEUTRAL	 | CONTRADICTION
little boy brown hair jump brown chair onto floor	 | young boy jump chair	 | ENTAILMENT	 | NEUTRAL
two kid sit colorful ball	 | two kid bounce colorful ball	 | NEUTRAL	 | ENTAILMENT
blonde girl pink top happily smile wear funny glass large nose attach	 | little girl smile wear fake nose glass	 | NEUTRAL	 | ENTAILMENT
boy umbrella let go father wear blue coat	 | boy umbrella hold father wear blue coat	 | NEUTRAL	 | CONTRADICTION
great dog climb steep hill	 | great dog get steep hill	 | CONTRADICTION	 | NEUTRAL
big surfer rid wave	 | surfer rid big wave	 | NEUTRAL	 | ENTAILMENT
surfer rid big wave across dark green water	 | big surfer rid wave	 | NEUTRAL	 | ENTAILMENT
big wave ride surfer across dark green water	 | surfer rid big wave	 | ENTAILMENT	 | NEUTRAL
no surfer rid big wave across dark green water	 | surfer rid big wave	 | ENTAILMENT	 | NEUTRAL
snowboarding man jump air	 | snowboarder jump air	 | ENTAILMENT	 | NEUTRAL
man squat brush take photograph	 | man squat brush take photo	 | ENTAILMENT	 | NEUTRAL
two dog look something move water	 | two dog look something splash water	 | ENTAILMENT	 | NEUTRAL
black cat jump hay ball another hay ball	 | black dog jump n hay ball another hay ball	 | NEUTRAL	 | ENTAILMENT
man motorcycle rid track waving	 | person motorcycle not hold arm	 | CONTRADICTION	 | NEUTRAL
two white dog one brown dog not chase ball	 | two white dog play brown dog ball	 | NEUTRAL	 | CONTRADICTION
two white dog one brown dog chase ball	 | two white dog play brown dog ball	 | NEUTRAL	 | ENTAILMENT
dog jump shiny blue soccer ball field dry leaf	 | dog jump dry leaf field shiny blue soccer ball	 | NEUTRAL	 | ENTAILMENT
dog run field chase ball	 | dog run towards toy	 | ENTAILMENT	 | NEUTRAL
basketball player court floor ball grab another one	 | two basketball player scramble ball court	 | ENTAILMENT	 | NEUTRAL
basketball player court floor another one grab ball	 | two basketball player scramble ball court	 | ENTAILMENT	 | NEUTRAL
white dog n't look curiously black llama	 | white dog look curiously black llama	 | CONTRADICTION	 | ENTAILMENT
black sheep stand near three white dog	 | black sheep stand three white dog	 | CONTRADICTION	 | ENTAILMENT
grey dog jump toward black white dog snow	 | grey dog jump toward black white dog water	 | NEUTRAL	 | ENTAILMENT
man dress black white hold tennis racket wait ball	 | man dress black white drop tennis racket wait ball	 | CONTRADICTION	 | NEUTRAL
tennis player mid game hold racquet	 | player dress black white hold tennis racket wait ball	 | NEUTRAL	 | ENTAILMENT
dog play green field	 | dog play green grass	 | ENTAILMENT	 | NEUTRAL
brown white dog play lawn	 | dog play green grass	 | ENTAILMENT	 | NEUTRAL
two men carry colorful basket blanket walk near building	 | two people walk laden basket blanket	 | ENTAILMENT	 | NEUTRAL
two people carry colorful basket blanket walk near building	 | two people walk laden basket blanket	 | ENTAILMENT	 | NEUTRAL
black white dog play tattered volleyball brown field	 | black white dog play new volleyball	 | NEUTRAL	 | ENTAILMENT
black white dog play ruin volleyball brown field	 | black white dog play broken volleyball	 | ENTAILMENT	 | NEUTRAL
topless woman smear brown substance blurry crowd background	 | topless woman smear brown substance nobody background	 | CONTRADICTION	 | ENTAILMENT
female cheerleader sit knee male cheerleader	 | female cheerleader sit knee man	 | ENTAILMENT	 | NEUTRAL
man purple hat climb rocky wall bare hand	 | man rock climb	 | ENTAILMENT	 | NEUTRAL
two people drive jeep lady sit top	 | two people drive boat lady sit top	 | NEUTRAL	 | ENTAILMENT
blond woman sit roof yellow vehicle two people inside	 | blond woman sit roof yellow vehicle two people outside	 | NEUTRAL	 | ENTAILMENT
large brown dog jump red hurdle	 | brown white dog jump red , yellow white barrier	 | NEUTRAL	 | ENTAILMENT
yellow dog drink water bottle	 | yellow dog drink water pot	 | CONTRADICTION	 | ENTAILMENT
water faucet drink yellow dog	 | yellow dog drink water bottle	 | NEUTRAL	 | CONTRADICTION
yellow dog drink water faucet	 | yellow dog drink water pot	 | NEUTRAL	 | CONTRADICTION
bride white veil look	 | boy look wear wedding veil	 | NEUTRAL	 | ENTAILMENT
bride white veil look	 | woman look wear wedding veil	 | NEUTRAL	 | ENTAILMENT
three dog rest sidewalk	 | three dog rest pavement	 | ENTAILMENT	 | NEUTRAL
three dog rest couch	 | three dog rest sidewalk	 | NEUTRAL	 | ENTAILMENT
young man get motocross bike dirt hill	 | young man push motocross bike dirt hill	 | ENTAILMENT	 | NEUTRAL
young man push motocross bike dirt hill	 | young man push motocross bike dirt hill	 | NEUTRAL	 | ENTAILMENT
young dirt bikers get dirt bike sandy hill	 | young man get motocross bike dirt hill	 | NEUTRAL	 | ENTAILMENT
old man woman rid bike boardwalk near ocean	 | old man woman rid bike boardwalk near water	 | ENTAILMENT	 | NEUTRAL
old man woman rid bike boardwalk near water	 | middle age man woman rid bike road beside water	 | ENTAILMENT	 | NEUTRAL
pedestrian car move traffic jam big city	 | people car crowded street	 | ENTAILMENT	 | NEUTRAL
pedestrian car move traffic jam big city	 | people vehicle crowded street	 | ENTAILMENT	 | NEUTRAL
two brown white dog fight grassy area front tree	 | two animal play outside	 | ENTAILMENT	 | NEUTRAL
water drink soccer player sit field	 | man sit grass drinking water bottle	 | ENTAILMENT	 | NEUTRAL
dog run wet sand	 | dog move wet sand	 | ENTAILMENT	 | NEUTRAL
dog run wet sand	 | dog run dry sand	 | CONTRADICTION	 | NEUTRAL
chubby face boy wear dark glass	 | boy wear sunglass	 | ENTAILMENT	 | NEUTRAL
horse race	 | horse run	 | ENTAILMENT	 | NEUTRAL
no bmx biker jump dirt ramp front body water	 | bikers get airborne track near water skyline	 | CONTRADICTION	 | NEUTRAL
racer full gear wear helmet sponsor logo rid red sport motorcycle	 | racer full gear wear helmet sponsor logo rid blue sport motorcycle	 | NEUTRAL	 | ENTAILMENT
boy jump side stone water fountain front building	 | boy jump side stone water fountain front building	 | CONTRADICTION	 | ENTAILMENT
two large dog , light color one dark one , quickly move snowy terrain	 | two large dog , light color one dark one , run snowy terrain	 | ENTAILMENT	 | NEUTRAL
two large dog , light color one dark one , sleep snowy terrain	 | two large dog , light color one dark one , run snowy terrain	 | NEUTRAL	 | ENTAILMENT
young girl blue fun swing	 | young girl blue fun slide	 | NEUTRAL	 | ENTAILMENT
young girl blue fun slide	 | girl blue slide slide	 | NEUTRAL	 | ENTAILMENT
girl blue slide green slide	 | young girl blue fun slide	 | NEUTRAL	 | ENTAILMENT
little girl smile run outside	 | little girl smile run inside	 | CONTRADICTION	 | NEUTRAL
boy play slip slide grass	 | child play slip slide grass	 | ENTAILMENT	 | NEUTRAL
two men stand together one look distance	 | two men stand together one look binoculars	 | NEUTRAL	 | ENTAILMENT
two men look one hold binoculars	 | two men look one hold spyglass	 | NEUTRAL	 | ENTAILMENT
two men stand together one look binoculars	 | two men look one hold binoculars	 | NEUTRAL	 | ENTAILMENT
old man white shirt gold black hat sit crossed leg	 | young man white shirt gold black hat sit crossed leg	 | NEUTRAL	 | ENTAILMENT
man bike jump pyramid-shaped ramp	 | bicyclist jump pyramid-shaped ramp	 | ENTAILMENT	 | NEUTRAL
shirtless man play football lawn	 | shirtless man play football field	 | NEUTRAL	 | ENTAILMENT
man go lake	 | man go water	 | ENTAILMENT	 | NEUTRAL
five people stand grass three dog	 | five people run three dog green field beside road	 | CONTRADICTION	 | NEUTRAL
five people stand three dog green field beside road	 | five people stand grass three dog	 | ENTAILMENT	 | NEUTRAL
girl carry lot colorful scarf beach	 | young woman carry lot colorful scarf beach	 | NEUTRAL	 | ENTAILMENT
light brown dog run grass	 | light brown dog run water	 | NEUTRAL	 | ENTAILMENT
child splash water small blue pool	 | child splash water big red pool	 | CONTRADICTION	 | NEUTRAL
toddler make splash outside blue paddling pool	 | toddler make splash inside blue paddling pool	 | CONTRADICTION	 | NEUTRAL
toddler make splash inside blue paddling pool	 | child splash water pool	 | ENTAILMENT	 | NEUTRAL
toddler make splash inside blue paddling pool	 | child splash water small blue pool	 | ENTAILMENT	 | NEUTRAL
grey silky dog sleep grass brown dog look	 | grey silky dog lie grass brown dog look	 | ENTAILMENT	 | NEUTRAL
brown dog spot black dog lie dry field	 | brown dog spot black dog lie dry grass	 | ENTAILMENT	 | NEUTRAL
large dog small dog stand next kitchen counter sniff	 | large dog small dog stand next kitchen counter investigate	 | ENTAILMENT	 | NEUTRAL
dirty tan dog roll water look right camera	 | dirty tan dog roll dirt look right camera	 | NEUTRAL	 | ENTAILMENT
dirty tan dog roll dirt look right camera	 | dog play ground	 | ENTAILMENT	 | NEUTRAL
dirty tan dog roll dirt look right camera	 | dog roll ground	 | ENTAILMENT	 | NEUTRAL
arabic man n't wear white hat	 | arabic man wear white hat	 | CONTRADICTION	 | ENTAILMENT
little kid play water fountain front people	 | child play fountain spray water ground	 | ENTAILMENT	 | NEUTRAL
person yellow dirt bike take jump	 | person yellow clean bike take jump	 | NEUTRAL	 | ENTAILMENT
person yellow dirt bike take jump	 | cyclist yellow bike airborne	 | ENTAILMENT	 | NEUTRAL
little girl miss baseball tee	 | little girl hit baseball tee	 | CONTRADICTION	 | NEUTRAL
girl hit little tee baseball	 | little girl hit baseball tee	 | NEUTRAL	 | ENTAILMENT
people stand carnival	 | people stand parade	 | NEUTRAL	 | ENTAILMENT
group people gather stand fair	 | people stand carnival	 | ENTAILMENT	 | NEUTRAL
woman show dog short hair dog show	 | woman show dog long hair dog show	 | CONTRADICTION	 | NEUTRAL
three child run hill	 | three child run hill	 | CONTRADICTION	 | ENTAILMENT
three child run grassy hillside	 | three child run hill	 | ENTAILMENT	 | NEUTRAL
black orange bird stand grass	 | black bird yellow beak stand green grass	 | NEUTRAL	 | ENTAILMENT
man without shirt pose arm spread next woman	 | man without shirt pose arm spread near woman	 | ENTAILMENT	 | NEUTRAL
two white dog run together	 | two white puppy play near water	 | NEUTRAL	 | ENTAILMENT
group people look sound equipment	 | group people stand around sound mixing console	 | ENTAILMENT	 | NEUTRAL
young couple sleep bed	 | young couple lie bed	 | ENTAILMENT	 | NEUTRAL
young couple lie bed together	 | young couple lie couch together	 | NEUTRAL	 | ENTAILMENT
young couple lie couch together	 | young couple lie bed	 | NEUTRAL	 | ENTAILMENT
child wear yellow jacket jump rock	 | child wear yellow jacket jump rock	 | NEUTRAL	 | ENTAILMENT
toddler rid plastic scooter toy	 | toddler play plastic scooter toy	 | ENTAILMENT	 | NEUTRAL
young child rid three wheel scooter sidewalk	 | toddler rid plastic scooter toy	 | ENTAILMENT	 | NEUTRAL
people cluster around bonfire night	 | people sit around bonfire night	 | ENTAILMENT	 | NEUTRAL
several people sit around fire night	 | several people gather around fire night	 | ENTAILMENT	 | NEUTRAL
people cluster around bonfire night	 | several people gather around fire night	 | ENTAILMENT	 | NEUTRAL
several people sit around fire night	 | people cluster around bonfire night	 | ENTAILMENT	 | NEUTRAL
dog leash walk water	 | dog leash walk near water	 | NEUTRAL	 | ENTAILMENT
dog leash walk water	 | dog leash walk water	 | CONTRADICTION	 | ENTAILMENT
dog leash walk water	 | dog leash walk water	 | NEUTRAL	 | ENTAILMENT
dog leash walk water	 | black dog leash walk water	 | NEUTRAL	 | ENTAILMENT
middle eastern man stand back lamp post near people	 | man lean pole surround	 | ENTAILMENT	 | NEUTRAL
middle eastern man stand back lamp post near people	 | man lean pole surround people	 | ENTAILMENT	 | NEUTRAL
couple look street guide	 | couple look map	 | ENTAILMENT	 | NEUTRAL
couple not look map	 | man woman stand front art gallery look map	 | CONTRADICTION	 | NEUTRAL
little dog run sand	 | dog run across gravel	 | NEUTRAL	 | ENTAILMENT
two male stand cliff edge no one jump water	 | one boy orange short stand rock cliff water boy black short jump water	 | CONTRADICTION	 | NEUTRAL
boy play game steel block	 | boy play game wooden block	 | NEUTRAL	 | ENTAILMENT
dog head inside red green gift bag	 | red brown dog not dig nose inside holiday gift bag	 | NEUTRAL	 | CONTRADICTION
girl bikini play dune	 | girl bikini play sand	 | ENTAILMENT	 | NEUTRAL
wet kid wear sand walk little hat	 | little kid wear hat walk wet sand	 | NEUTRAL	 | ENTAILMENT
boy wear white hat run beach	 | boy wear white hat walk beach	 | NEUTRAL	 | ENTAILMENT
man black hat touch cardboard box	 | person black hat reach box	 | NEUTRAL	 | ENTAILMENT
man black hat touch cardboard box	 | man black hat not reach box	 | NEUTRAL	 | CONTRADICTION
two dog play beach	 | two dog play forest	 | NEUTRAL	 | ENTAILMENT
two dog play sandy beach	 | two dog play rocky beach	 | NEUTRAL	 | ENTAILMENT
large white dog jump snow	 | large white dog jump air snowy area	 | ENTAILMENT	 | NEUTRAL
two young kid wear hat stick color tongue	 | two kid stick blue green color tongue	 | NEUTRAL	 | ENTAILMENT
black brown dog eye fly	 | black brown dog eye insect	 | ENTAILMENT	 | NEUTRAL
young white child not stand edge body water near bucket	 | young black child stand edge body water near bucket	 | NEUTRAL	 | CONTRADICTION
two little boy play outside soccer ball green grass	 | child play outside soccer ball green grass	 | ENTAILMENT	 | NEUTRAL
two little boy play outside soccer ball green grass	 | two child play ball park	 | ENTAILMENT	 | NEUTRAL
snowboarder jump snowy hill	 | snowboarder jump snow	 | ENTAILMENT	 | NEUTRAL
snowboarder jump snow	 | snowboarder not jump snow cover hill	 | CONTRADICTION	 | NEUTRAL
person hike	 | person walk	 | ENTAILMENT	 | NEUTRAL
distant person blue backpack hike area full rock	 | person hike	 | ENTAILMENT	 | NEUTRAL
no person blue backpack hiking rocky area	 | person hike	 | NEUTRAL	 | CONTRADICTION
no person hike	 | distant person blue backpack hike rocky area	 | CONTRADICTION	 | NEUTRAL
woman wear paint costume piece rid bike empty street	 | woman wear paint costume piece rid bike busy street	 | NEUTRAL	 | ENTAILMENT
woman wear paint costume piece rid bike empty street	 | girl strange outfit rid bike	 | ENTAILMENT	 | NEUTRAL
black dog carry blue white ball mouth	 | black dog carry blue white toy mouth	 | ENTAILMENT	 | NEUTRAL
girl uniform not play flute marching band	 | girl band play flute	 | NEUTRAL	 | CONTRADICTION
two dog kennel hind leg face one another	 | two cat kennel hind leg face one another	 | ENTAILMENT	 | NEUTRAL
black dog yellow dog play	 | two dog play	 | ENTAILMENT	 | NEUTRAL
two girl dog walk forest path	 | two dog two people walk wood	 | ENTAILMENT	 | NEUTRAL
man red shirt trick rollerblade	 | man red shirt trick skateboard	 | NEUTRAL	 | ENTAILMENT
three friend make face camera	 | three enemy make face camera	 | CONTRADICTION	 | ENTAILMENT
two men girl front wood panel wall pose funny face	 | two men girl front wood panel wall make funny face	 | ENTAILMENT	 | NEUTRAL
four people walk along city sidewalk one green hat talk cell phone	 | group people walk street person hat phone	 | ENTAILMENT	 | NEUTRAL
man black wetsuit rid foamy wave	 | surfer black wetsuit rid foamy wave	 | NEUTRAL	 | ENTAILMENT
surfer surf small wave	 | surfer surf huge wave	 | NEUTRAL	 | ENTAILMENT
player maneuver soccer ball	 | player maneuver basket ball	 | NEUTRAL	 | ENTAILMENT
man green kick soccer ball man purple white rise	 | man green kick soccer ball man purple white fall	 | CONTRADICTION	 | NEUTRAL
kid splash ocean	 | kid splash water	 | ENTAILMENT	 | NEUTRAL
two dog run catch tennis ball	 | two dog run try catch soccer ball	 | NEUTRAL	 | CONTRADICTION
dog area full sand , sand stir air several plant background	 | dog sandy area sand stir air several plant background	 | ENTAILMENT	 | NEUTRAL
dog sand blow air	 | dog sand blow wind	 | ENTAILMENT	 | NEUTRAL
dog sand blow wind	 | dog sandy area sand stir air several plant background	 | ENTAILMENT	 | NEUTRAL
black white dog run field	 | black white dog run green yard	 | NEUTRAL	 | ENTAILMENT
black white dog run indoors	 | black white dog run outdoors	 | CONTRADICTION	 | NEUTRAL
woman wear blue shirt high heel stand sidewalk next man	 | man woman stand curb	 | ENTAILMENT	 | NEUTRAL
woman sit wear swim gear	 | kid sit wear swim gear	 | NEUTRAL	 | ENTAILMENT
black dog white dog wrestle floor	 | black dog white dog wrestle ground	 | ENTAILMENT	 | NEUTRAL
black dog tan dog fight	 | two dog fight	 | ENTAILMENT	 | NEUTRAL
black dog white dog wrestle ground	 | two dog fight	 | ENTAILMENT	 | NEUTRAL
four dog play area cover grass	 | four dog play grassy area	 | ENTAILMENT	 | NEUTRAL
dog nap park	 | dog rest park	 | ENTAILMENT	 | NEUTRAL
brown puppy bite pole	 | brown puppy bite stick	 | NEUTRAL	 | ENTAILMENT
woman play brown dog garden	 | woman play brown dog garden path	 | NEUTRAL	 | ENTAILMENT
brown dog run snow	 | black dog run snow	 | NEUTRAL	 | ENTAILMENT
girl paint coverall blue	 | girl blue coverall paint	 | NEUTRAL	 | ENTAILMENT
golden retriever run	 | dog run	 | ENTAILMENT	 | NEUTRAL
yellow dog run sandy path	 | yellow dog run sandy path	 | NEUTRAL	 | ENTAILMENT
yellow dog run sandy path	 | dog run	 | ENTAILMENT	 | NEUTRAL
two people seat near camel another camel foreground	 | two people seat camel another camel foreground	 | NEUTRAL	 | ENTAILMENT
man stand body water near waterfall	 | body man water near waterfall	 | NEUTRAL	 | ENTAILMENT
brown white dog run river	 | brown white dog run water	 | ENTAILMENT	 | NEUTRAL
dog run sand chase ball	 | dog run grass chase ball	 | NEUTRAL	 | ENTAILMENT
shirtless woman lead horse pull carriage	 | shirtless man lead horse pull carriage	 | CONTRADICTION	 | NEUTRAL
shirtless man escort horse pull carriage along paved road	 | shirtless man escort horse pull carriage along dirty road	 | NEUTRAL	 | ENTAILMENT
bicyclist perform trick clean wall	 | bicyclist perform trick heavily graphitized wall	 | NEUTRAL	 | ENTAILMENT
black white dog large branch run field	 | black white dog large branch run grass	 | ENTAILMENT	 | NEUTRAL
black white dog carry big stick green grass	 | black white dog carry huge stick green grass	 | ENTAILMENT	 | NEUTRAL
black white dog large branch run grass	 | black white dog carry huge stick green grass	 | ENTAILMENT	 | NEUTRAL
boy run beach	 | boy run sand	 | ENTAILMENT	 | NEUTRAL
woman fire target practice	 | woman shoot target practice	 | ENTAILMENT	 | NEUTRAL
woman wear ear protection fire gun outdoor shooting range	 | woman wear ear protection fire gun indoor shooting range	 | NEUTRAL	 | ENTAILMENT
two young boy look camera one stick tongue	 | two kid look camera one stick tongue	 | ENTAILMENT	 | NEUTRAL
large dog walk outside carry colorful toy mouth	 | large dog walk outside hold colorful toy mouth	 | ENTAILMENT	 | NEUTRAL
